local;uf;filial;deposito;cultura;lote;cultivar;Tratamento;cat;pen;um;qtd_sistema;peso_etiqueta
UBS I;GO;101.0;10.0;SOJA;11026273P1204;NEO800 I2X;SEM TRATAMENTO;S1;P1;BG;30;697.0
UBS I;GO;101.0;10.0;SOJA;11026273P1206;NEO800 I2X;SEM TRATAMENTO;S1;P1;BG;30;680.0
UBS I;GO;101.0;10.0;SOJA;11026273P1208;NEO800 I2X;SEM TRATAMENTO;S1;P1;BG;30;677.0
UBS I;GO;101.0;10.0;SOJA;11026273P1209;NEO800 I2X;SEM TRATAMENTO;S1;P1;BG;30;690.0
UBS I;GO;101.0;10.0;SOJA;11026273P1211;NEO800 I2X;SEM TRATAMENTO;S1;P1;BG;30;674.0
UBS I;GO;101.0;10.0;SOJA;11026273P1212;NEO800 I2X;SEM TRATAMENTO;S1;P1;BG;30;639.0
UBS I;GO;101.0;10.0;SOJA;11026273P1268;NEO800 I2X;SEM TRATAMENTO;S1;P1;BG;30;629.0
UBS I;GO;101.0;10.0;SOJA;11026273P1270;NEO800 I2X;SEM TRATAMENTO;S1;P1;BG;30;651.0
UBS I;GO;101.0;10.0;SOJA;11026273P1272;NEO800 I2X;SEM TRATAMENTO;S1;P1;BG;30;628.0
UBS I;GO;101.0;10.0;SOJA;11026273P1274;NEO800 I2X;SEM TRATAMENTO;S1;P1;BG;30;649.0
UBS I;GO;101.0;10.0;SOJA;11026273P1276;NEO800 I2X;SEM TRATAMENTO;S1;P1;BG;30;664.0
UBS I;GO;101.0;10.0;SOJA;11026273P1278;NEO800 I2X;SEM TRATAMENTO;S1;P1;BG;30;645.0
UBS I;GO;101.0;10.0;SOJA;11026273P1281;NEO800 I2X;SEM TRATAMENTO;S1;P1;BG;30;652.0
UBS I;GO;101.0;10.0;SOJA;11026273P1306;NEO800 I2X;SEM TRATAMENTO;S1;P1;BG;30;660.0
UBS I;GO;101.0;10.0;SOJA;11026273P1308;NEO800 I2X;SEM TRATAMENTO;S1;P1;BG;30;645.0
UBS I;GO;101.0;10.0;SOJA;11026273P1311;NEO800 I2X;SEM TRATAMENTO;S1;P1;BG;30;628.0
UBS I;GO;101.0;10.0;SOJA;11026273P1312;NEO800 I2X;SEM TRATAMENTO;S1;P1;BG;30;635.0
UBS I;GO;101.0;10.0;SOJA;11026273P1315;NEO800 I2X;SEM TRATAMENTO;S1;P1;BG;30;648.0
UBS I;GO;101.0;10.0;SOJA;11026273P1317;NEO800 I2X;SEM TRATAMENTO;S1;P1;BG;30;641.0
UBS I;GO;101.0;10.0;SOJA;11026273P1320;NEO800 I2X;SEM TRATAMENTO;S1;P1;BG;10;652.0
UBS I;GO;101.0;10.0;SOJA;11026273P2205;NEO800 I2X;SEM TRATAMENTO;S1;P2;BG;30;854.0
UBS I;GO;101.0;10.0;SOJA;11026273P2207;NEO800 I2X;SEM TRATAMENTO;S1;P2;BG;30;838.0
UBS I;GO;101.0;10.0;SOJA;11026273P2210;NEO800 I2X;SEM TRATAMENTO;S1;P2;BG;30;822.0
UBS I;GO;101.0;10.0;SOJA;11026273P2213;NEO800 I2X;SEM TRATAMENTO;S1;P2;BG;10;832.0
UBS I;GO;101.0;10.0;SOJA;11026273P2269;NEO800 I2X;SEM TRATAMENTO;S1;P2;BG;30;814.0
UBS I;GO;101.0;10.0;SOJA;11026273P2271;NEO800 I2X;SEM TRATAMENTO;S1;P2;BG;30;834.0
UBS I;GO;101.0;10.0;SOJA;11026273P2273;NEO800 I2X;SEM TRATAMENTO;S1;P2;BG;30;828.0
UBS I;GO;101.0;10.0;SOJA;11026273P2275;NEO800 I2X;SEM TRATAMENTO;S1;P2;BG;30;862.0
UBS I;GO;101.0;10.0;SOJA;11026273P2277;NEO800 I2X;SEM TRATAMENTO;S1;P2;BG;30;852.0
UBS I;GO;101.0;10.0;SOJA;11026273P2279;NEO800 I2X;SEM TRATAMENTO;S1;P2;BG;30;835.0
UBS I;GO;101.0;10.0;SOJA;11026273P2280;NEO800 I2X;SEM TRATAMENTO;S1;P2;BG;30;826.0
UBS I;GO;101.0;10.0;SOJA;11026273P2305;NEO800 I2X;SEM TRATAMENTO;S1;P2;BG;30;837.0
UBS I;GO;101.0;10.0;SOJA;11026273P2307;NEO800 I2X;SEM TRATAMENTO;S1;P2;BG;30;833.0
UBS I;GO;101.0;10.0;SOJA;11026273P2309;NEO800 I2X;SEM TRATAMENTO;S1;P2;BG;30;833.0
UBS I;GO;101.0;10.0;SOJA;11026273P2310;NEO800 I2X;SEM TRATAMENTO;S1;P2;BG;30;824.0
UBS I;GO;101.0;10.0;SOJA;11026273P2313;NEO800 I2X;SEM TRATAMENTO;S1;P2;BG;30;827.0
UBS I;GO;101.0;10.0;SOJA;11026273P2314;NEO800 I2X;SEM TRATAMENTO;S1;P2;BG;30;835.0
UBS I;GO;101.0;10.0;SOJA;11026273P2316;NEO800 I2X;SEM TRATAMENTO;S1;P2;BG;30;828.0
UBS I;GO;101.0;10.0;SOJA;11026273P2318;NEO800 I2X;SEM TRATAMENTO;S1;P2;BG;30;840.0
UBS I;GO;101.0;10.0;SOJA;11026273P2319;NEO800 I2X;SEM TRATAMENTO;S1;P2;BG;18;836.0
UBS I;GO;101.0;10.0;SOJA;11026714P1187;NEO790 IPRO;SEM TRATAMENTO;S1;P1;BG;30;765.0
UBS I;GO;101.0;10.0;SOJA;11026714P1188;NEO790 IPRO;SEM TRATAMENTO;S1;P1;BG;30;771.0
